Filename;ClassId
dataset\GTSRB\Final_Training/Images\00005\00012_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00027.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00028.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00012_00029.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00027.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00028.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00013_00029.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00027.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00028.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00014_00029.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00027.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00028.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00015_00029.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00027.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00028.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00016_00029.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00000.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00001.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00002.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00003.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00004.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00005.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00006.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00007.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00008.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00009.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00010.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00011.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00012.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00013.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00014.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00015.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00016.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00017.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00018.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00019.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00020.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00021.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00022.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00023.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00024.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00025.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00026.ppm;5
dataset\GTSRB\Final_Training/Images\00005\00017_00027.ppm;5
